,ProteinID,126 Vert Med,127n Vert Med,127c Vert Med,128n Vert Med,128c Vert Med,129n Vert Med,batch_p_value,null_batch_p_value,1 vs 2,i_value,BH_value,Significant?,PepPerProt
2819,YML009C,312293.6903,307372.8028,305317.1813,853742.5699,835432.8687,842676.5201,4.17E-08,0.512383698,7.75E-08,1,0.000171807,TRUE,1
2678,YLR262C-A,330290.1674,324090.2799,335944.6204,828722.5448,825534.7961,825114.2173,1.01E-07,0.535342378,1.67E-08,2,0.000208693,TRUE,3
369,YCL026C-B,333521.3955,339539.8643,336577.0073,813773.4845,838498.8366,812688.3767,1.62E-07,0.530167554,5.93E-07,3,0.000221889,TRUE,4
2163,YJR060W,853279.8707,836501.0098,842738.7702,395246.2931,406929.1902,400412.0544,2.13E-07,0.4900649,1.94E-07,4,0.000219129,TRUE,5
0,Q0045,234746.4291,235839.089,243317.0553,890467.3684,934305.2072,887251.1147,3.08E-07,0.546968599,1.72E-06,5,0.000254011,TRUE,3
1266,YFR033C,128456.2805,130655.1578,117643.3699,1005738.787,994023.1846,986531.7951,3.86E-07,0.500814242,2.35E-08,6,0.000264558,TRUE,1
461,YCR094W,751185.3783,759117.1816,756823.7537,470929.1878,480538.3653,470816.173,3.92E-07,0.501610503,2.42E-07,7,0.000230578,TRUE,5
2152,YJR047C,1023492.677,1054470.455,1050429.208,235276.7808,246238.4587,228051.0016,4.21E-07,0.501158347,2.13E-07,8,0.000216779,TRUE,3
1619,YGR232W,1049516.334,987010.3098,990260.9234,258854.3471,266789.9626,266496.6104,4.56E-07,0.49767951,3.41E-06,9,0.000208459,TRUE,2
1720,YHR038W,434339.8874,445048.5507,435366.6686,731545.5998,741682.0066,737269.4476,4.75E-07,0.503659525,3.09E-07,10,0.000195437,TRUE,5
2317,YKL119C,373800.8628,382768.8829,384889.3284,789706.062,794497.054,770955.0208,5.91E-07,0.526149626,8.91E-07,11,0.000221081,TRUE,2
2492,YLL035W,786199.9765,791730.9614,811341.0062,443297.0777,441588.1748,436658.8456,6.06E-07,0.506430934,1.44E-06,12,0.000207788,TRUE,1
1506,YGR076C,329157.123,339306.0162,330604.1386,833284.3514,837017.3119,802644.9038,6.31E-07,0.515559614,1.70E-06,13,0.000199731,TRUE,5
2326,YKL129C,790823.4198,808138.1306,790943.8149,432581.9767,446847.4794,440572.866,9.44E-07,0.51716475,9.29E-07,14,0.000277551,TRUE,4
1726,YHR043C,1034084.751,1046974.443,1011718.895,233142.4146,247852.9081,255374.4073,9.44E-07,0.522040202,3.48E-07,15,0.00025916,TRUE,4
542,YDL110C,279447.846,300864.0388,285463.8893,857352.012,857454.7103,866405.5125,1.02E-06,0.482255502,1.38E-07,16,0.000263007,TRUE,2
1918,YIL106W,549576.9533,545043.4739,547142.1439,649708.2719,645236.4789,644394.1325,1.16E-06,0.530547562,1.22E-06,17,0.000280986,TRUE,4
1055,YEL071W,878116.9211,885395.8002,911199.6565,351505.6052,373428.5892,361801.179,1.69E-06,0.482377475,1.51E-06,18,0.000385479,TRUE,25
2360,YKL178C,1206158.78,1108656.42,1204304.296,120944.8727,141096.4908,127691.4545,2.01E-06,0.463368476,5.78E-06,19,0.000435763,TRUE,1
2117,YJL208C,440307.3489,447765.9144,458385.2914,726400.9051,728443.4225,729819.2378,2.07E-06,0.523671704,7.98E-07,20,0.000426558,TRUE,10
365,YCL018W,1047476.402,1033314.024,1063123.466,216244.4563,242210.1861,239449.9917,2.17E-06,0.486561178,2.73E-07,21,0.000424818,TRUE,8
2630,YLR195C,945969.0264,924542.8491,950804.956,306358.8734,334562.766,324290.9692,2.46E-06,0.472791186,7.23E-07,22,0.000460105,TRUE,9
814,YDR264C,793603.3877,815626.4406,786350.0654,430620.0813,446827.5303,437499.9191,2.55E-06,0.522004473,3.51E-06,23,0.000456445,TRUE,7
1732,YHR051W,233685.8911,234699.3053,255093.9391,908127.5438,926654.3839,869332.2218,2.70E-06,0.556072538,3.50E-06,24,0.000462501,TRUE,6
7,R0040C,929205.2178,909930.5596,967057.1268,320984.4243,316721.824,338953.1752,2.70E-06,0.518934738,4.64E-06,25,0.000444956,TRUE,6
2842,YML042W,170615.0859,178135.0615,197207.4031,948030.2209,938062.4497,960612.4937,2.86E-06,0.523480729,1.92E-07,26,0.000452697,TRUE,5
3625,YOR120W,362400.0531,352362.2963,367894.199,795937.9033,828220.7343,782220.3163,2.92E-06,0.582492065,6.71E-06,27,0.000444996,TRUE,4
3557,YOR012W,179156.1448,182562.3548,204172.4062,928254.769,969011.6563,937332.1877,2.97E-06,0.550469609,8.38E-07,28,0.000436261,TRUE,1
852,YDR322C-A,295147.2705,311840.2369,287027.974,876433.6479,844022.9128,836164.7689,3.13E-06,0.472982686,2.67E-06,29,0.000444394,TRUE,2
2596,YLR131C,829888.2716,837878.2183,853915.3078,411559.8533,411045.1724,389837.255,3.15E-06,0.494650073,1.69E-06,30,0.000432096,TRUE,3
1690,YHR001W-A,275000.8072,272884.1968,299489.354,873570.0175,867975.8337,857332.3787,3.19E-06,0.547534065,4.71E-07,31,0.000422997,TRUE,3
1093,YER044C,411319.369,421763.641,415932.1043,732982.1494,769018.9283,764228.1552,3.71E-06,0.526808914,8.43E-06,32,0.000476953,TRUE,5
2655,YLR227W-B,1094936.883,1078035.264,1211966.662,164613.6461,180962.6796,158389.7529,3.85E-06,0.464126682,2.30E-05,33,0.000480587,TRUE,4
98,YBL038W,392761.6846,399004.5589,383450.0488,799415.898,764041.0917,760331.6453,4.17E-06,0.478115482,8.54E-06,34,0.000504786,TRUE,2
1373,YGL129C,340419.1987,341737.3858,360367.0486,798639.0128,840659.5412,800765.1286,4.32E-06,0.571883922,6.59E-06,35,0.000507942,TRUE,15
1811,YHR152W,424481.4101,444663.1062,426707.907,746238.9008,732430.9606,745464.0326,4.46E-06,0.452752258,2.42E-06,36,0.000510038,TRUE,1
2748,YLR371W,439959.8624,453195.5715,447944.6664,728353.6567,745764.8262,716144.7461,4.65E-06,0.533144507,7.30E-06,37,0.000517698,TRUE,5
210,YBR085W,955679.1244,925532.4799,878921.2381,326919.9358,347036.9368,337738.923,4.69E-06,0.499583136,1.46E-05,38,0.000508306,TRUE,4
2356,YKL170W,383956.4415,401893.1512,405276.3667,783708.4446,773527.2105,756085.6474,4.71E-06,0.507073929,3.61E-06,39,0.000497562,TRUE,3
1637,YGR255C,512572.2864,513546.1274,511462.9008,666179.9125,674170.3574,685159.1997,4.73E-06,0.508380119,7.98E-06,40,0.000487229,TRUE,5
3438,YNR067C,922182.5528,900740.7627,916363.8785,334182.0629,364563.5821,334748.662,5.04E-06,0.455939233,1.15E-06,41,0.00050579,TRUE,7
1768,YHR094C,848010.9726,864463.243,870765.757,370058.9723,399484.8793,392198.0403,5.15E-06,0.488909604,1.83E-06,42,0.000504594,TRUE,6
2122,YJL217W,1133609.238,1129457.678,1168230.489,137173.5178,152720.9756,169349.3898,5.27E-06,0.513276903,3.50E-07,43,0.000504292,TRUE,5
