,ProteinID,126 Vert Med,127n Vert Med,127c Vert Med,128n Vert Med,128c Vert Med,129n Vert Med,batch_p_value,null_batch_p_value,1 vs 2,i_value,BH_value,Significant?,PepPerProt
69,YAR028W,1217850.327,1250761.743,1217353.725,120762.421,125268.7451,121358.9446,9.54E-09,0.516678255,6.18E-08,1,4.35E-05,TRUE,3
2355,YJL217W,1146349.527,1171956.913,1129433.749,182827.9179,188208.4047,185079.451,1.87E-08,0.520726276,1.67E-07,2,4.27E-05,TRUE,8
773,YDR096W,381398.9575,381807.8536,381741.9946,792901.832,807292.9534,794044.3986,2.26E-08,0.531993174,9.08E-08,3,3.44E-05,TRUE,17
1861,YHL030W,804222.7075,804058.5702,811221.8229,463220.5402,458376.7704,456101.9471,5.15E-08,0.516741212,4.11E-08,4,5.87E-05,TRUE,54
1879,YHR007C,407686.2386,414727.6793,408130.1525,776286.157,770732.4809,777769.9379,5.37E-08,0.495736525,3.23E-08,5,4.90E-05,TRUE,56
3345,YMR169C,346113.8169,350006.8149,351872.8065,835138.0174,818081.6037,817598.4992,5.80E-08,0.509677952,1.55E-07,6,4.41E-05,TRUE,20
4211,YPL013C,207329.2324,216467.7213,215017.5258,938008.6612,919864.4498,938565.3583,6.29E-08,0.500742389,4.70E-08,7,4.10E-05,TRUE,3
2036,YHR198C,360582.9756,353884.1019,360067.1047,812096.875,826295.2818,812003.0378,6.35E-08,0.54425154,1.00E-07,8,3.62E-05,TRUE,4
3331,YMR152W,434808.4027,433509.5213,434380.162,761290.9453,759073.6851,747642.3392,6.59E-08,0.527855492,1.82E-07,9,3.34E-05,TRUE,23
3801,YOL011W,298489.9325,290113.7595,299653.5492,869680.6689,874412.9197,854968.1497,1.01E-07,0.543280977,1.06E-07,10,4.62E-05,TRUE,3
1662,YGR062C,420835.0479,419837.4275,420226.8723,769924.9795,774956.0605,756837.7187,1.15E-07,0.535193872,3.54E-07,11,4.79E-05,TRUE,2
1726,YGR142W,455616.4321,457608.1821,455508.2501,741566.1037,729974.6011,742714.869,1.20E-07,0.492958549,2.75E-07,12,4.58E-05,TRUE,1
48,YAL049C,436639.4902,436675.6133,441365.8616,748097.3694,761078.2013,749957.3894,1.21E-07,0.542062666,2.18E-07,13,4.24E-05,TRUE,10
548,YDL046W,788622.0085,795755.3917,786705.301,469484.7274,476921.4891,469616.785,1.30E-07,0.512506514,1.08E-07,14,4.22E-05,TRUE,3
1838,YGR287C,354094.4488,356475.3873,365927.4154,817668.2809,815353.5321,815803.5845,1.35E-07,0.5244566,2.52E-08,15,4.10E-05,TRUE,3
4348,YPL186C,262098.2519,258208.0775,258844.8541,890552.9812,873361.8244,918875.6065,1.48E-07,0.506033261,1.16E-06,16,4.23E-05,TRUE,2
0,Q0045,105250.413,108484.579,114833.7622,1039835.074,1001886.744,1002547.965,1.57E-07,0.517169852,2.44E-07,17,4.22E-05,TRUE,5
1560,YGL184C,1169881.524,1138225.383,1109291.091,190238.9689,199023.4779,188407.9922,1.63E-07,0.501810342,7.49E-07,18,4.13E-05,TRUE,2
2437,YJR101W,411437.0784,411156.5034,412301.7495,761191.389,782420.8425,778729.7054,2.00E-07,0.535503897,6.41E-07,19,4.79E-05,TRUE,12
3105,YLR452C,929054.6469,949983.631,913317.731,356417.6248,363951.0563,358554.2241,2.08E-07,0.526734181,7.81E-07,20,4.75E-05,TRUE,24
2875,YLR134W,421442.5899,412165.5763,417472.0566,761177.0491,774754.1462,772963.8627,2.23E-07,0.545492779,2.49E-07,21,4.84E-05,TRUE,16
4475,YPR085C,389961.3043,386656.9632,388848.0859,777037.9263,800744.9638,799732.9318,2.44E-07,0.537694325,8.31E-07,22,5.06E-05,TRUE,5
321,YBR197C,940555.5678,926547.1247,940659.2791,353382.9629,365367.1428,349777.3796,2.71E-07,0.48619327,1.04E-07,23,5.37E-05,TRUE,2
166,YBR001C,418074.0429,419488.7628,418942.4884,780315.217,756932.8193,766451.8291,2.76E-07,0.495601196,8.62E-07,24,5.25E-05,TRUE,4
4124,YOR283W,848087.9563,855127.3791,841242.0728,420915.2791,433534.435,423180.8678,2.92E-07,0.506259725,1.83E-07,25,5.34E-05,TRUE,9
472,YCR037C,284476.415,292508.8416,299670.7557,870712.3249,859388.2987,877439.4369,2.93E-07,0.508547363,1.19E-07,26,5.14E-05,TRUE,5
1076,YDR481C,965890.4329,996535.6839,968565.5268,320507.2174,332277.7237,317389.5469,3.46E-07,0.512794211,4.46E-07,27,5.85E-05,TRUE,17
1086,YDR493W,372830.6955,370885.4247,363214.8059,796997.7702,802868.3658,822523.2114,3.80E-07,0.506487941,7.53E-07,28,6.19E-05,TRUE,3
2654,YKL215C,802604.7104,807056.8199,787232.5783,465624.1203,460404.7128,467599.7033,4.24E-07,0.55025664,7.91E-07,29,6.67E-05,TRUE,50
1886,YHR017W,544522.6989,545850.7127,542294.2198,666550.7237,665885.1731,671700.7953,4.24E-07,0.491992535,5.05E-07,30,6.45E-05,TRUE,5
54,YAL058W,997361.5617,1018126.661,971180.2997,299374.5005,312317.2154,311442.5278,4.39E-07,0.524490583,1.09E-06,31,6.47E-05,TRUE,4
3791,YNR067C,998562.3238,1010075.725,976480.5608,300308.1594,317908.1582,306994.6946,4.44E-07,0.507019928,4.11E-07,32,6.32E-05,TRUE,9
711,YDR014W,1035411.594,1045772.151,997219.9689,278604.6656,292111.7269,278898.926,4.48E-07,0.510468254,1.11E-06,33,6.19E-05,TRUE,6
724,YDR033W,1149944.973,1164587.804,1230343.646,165786.714,166626.0914,153999.2128,4.48E-07,0.500056394,2.18E-06,34,6.01E-05,TRUE,4
4245,YPL058C,452543.7778,451039.3112,461114.778,734109.4015,739314.7665,745324.8259,4.74E-07,0.533693188,3.78E-07,35,6.18E-05,TRUE,45
1367,YFL042C,816316.5946,811562.8693,812640.1147,461870.247,451528.6872,446740.8256,5.08E-07,0.52121914,1.72E-07,36,6.43E-05,TRUE,5
2207,YJL003W,324376.1831,321862.9571,337799.3301,845036.8621,846981.0358,831372.0895,5.09E-07,0.543152199,2.04E-07,37,6.28E-05,TRUE,2
2473,YJR144W,429695.2624,438572.5988,440879.5752,754710.6943,761326.288,747906.3893,5.13E-07,0.52490345,4.14E-07,38,6.15E-05,TRUE,11
2399,YJR055W,1110356.162,1160477.338,1078407.075,217306.0397,212494.516,203575.9172,5.25E-07,0.536116472,3.06E-06,39,6.14E-05,TRUE,2
455,YCR017C,747244.5825,752291.6962,742512.7137,500600.6538,509476.5201,508419.2301,5.26E-07,0.51890587,4.42E-07,40,6.00E-05,TRUE,10
3287,YMR098C,400378.5469,403279.0851,408675.6815,775394.7653,795532.4196,770728.9631,5.42E-07,0.547529446,1.21E-06,41,6.03E-05,TRUE,6
238,YBR092C,969857.1671,942318.007,950336.296,335163.8395,351937.2122,336450.1964,5.44E-07,0.481446172,3.90E-07,42,5.91E-05,TRUE,6
1038,YDR430C,474709.3238,467670.8257,478357.2825,725818.7919,728226.7005,720155.2652,5.51E-07,0.555330189,3.64E-07,43,5.85E-05,TRUE,34
4005,YOR125C,366600.0637,378669.0874,372608.2162,792500.1223,819880.3899,804162.7291,5.75E-07,0.520637336,9.60E-07,44,5.96E-05,TRUE,3
2290,YJL125C,500356.3629,499905.9525,492331.4984,708612.1517,700803.5396,705859.8816,5.86E-07,0.491296582,4.65E-07,45,5.94E-05,TRUE,18
3475,YMR319C,1136205.952,1119762.635,1120292.037,193294.6508,205650.4562,214186.9393,5.88E-07,0.512502369,3.62E-08,46,5.83E-05,TRUE,3
1385,YFR011C,383364.9359,390049.4837,399130.7298,794520.6537,794475.8134,783981.1705,5.90E-07,0.526782999,2.57E-07,47,5.72E-05,TRUE,11
838,YDR178W,165942.6166,181666.5469,176003.3401,978855.8712,934081.3663,974150.4005,6.02E-07,0.482590927,7.72E-07,48,5.72E-05,TRUE,2
400,YCL004W,257336.5992,266838.9545,265119.2795,884268.7873,867028.0689,923742.623,6.10E-07,0.488546017,3.22E-06,49,5.67E-05,TRUE,4
875,YDR231C,283088.5236,276876.3187,292465.7447,879834.1371,893571.1891,855714.3648,6.36E-07,0.554846534,9.94E-07,50,5.80E-05,TRUE,5
232,YBR085W,1073667.336,1143607.974,1043630.055,231606.282,236449.0054,235669.9515,6.47E-07,0.544220455,8.72E-06,51,5.78E-05,TRUE,5
3543,YNL083W,280800.5722,276402.0405,277910.1108,910922.7883,848411.3048,878533.3741,6.71E-07,0.497122255,4.90E-06,52,5.89E-05,TRUE,4
